hour,day_of_week,is_holiday,weather,traffic_level,active_orders,available_riders,avg_prep_time_min,zone_id,distance_km,hist_demand_trend,hist_cancel_rate,surge_multiplier,base_delivery_fee,final_delivery_fee,is_peak_hour
9,1,0,Clear,5,22,16,17.2,7,7.2,1.495,0.1658,1.852,50.83,94.14,1
19,4,0,Fog,5,16,6,18.7,1,3.3,1.24,0.1289,2.5,36.37,90.92,1
13,3,0,Rain,3,38,28,11.6,13,4.8,0.815,0.0935,1.84,53.72,98.84,1
10,3,0,Cloudy,5,21,14,15.8,8,3.3,0.56,0.2836,1.873,42.66,79.9,1
10,3,0,Rain,5,34,21,21.8,13,3.4,0.462,0.053,2.08,50.12,104.25,1
5,5,0,Cloudy,4,10,13,19.5,4,6.0,-0.813,0.1774,1.423,42.25,60.12,1
2,6,0,Clear,4,7,10,19.9,2,1.5,0.162,0.1008,1.349,30.48,41.12,0
13,3,0,Cloudy,1,18,14,19.0,1,4.0,1.299,0.0395,1.6,34.64,55.42,1
21,1,0,Fog,2,30,24,18.0,10,3.1,0.271,0.2996,1.619,43.73,70.8,1
1,2,0,Clear,1,14,30,17.5,14,2.0,-1.06,0.1567,1.098,49.87,54.76,0
20,3,0,Clear,2,37,27,20.1,11,6.1,0.102,0.3605,1.61,53.93,86.83,1
19,0,0,Rain,4,38,13,19.0,11,4.9,-2.273,0.0341,2.5,50.85,127.12,1
6,1,0,Cloudy,2,8,12,22.2,8,2.9,0.564,0.2211,1.253,36.62,45.88,0
15,1,0,Clear,2,12,10,8.4,2,4.5,-0.897,0.01,1.471,33.56,49.37,1
3,6,0,Cloudy,3,11,25,15.3,9,6.5,-0.693,0.1282,1.237,53.95,66.74,0
18,2,0,Storm,1,34,15,14.3,6,4.6,0.677,0.0503,2.358,40.71,95.99,1
16,6,0,Clear,4,8,12,15.7,2,5.1,0.533,0.1278,1.385,38.56,53.41,0
8,3,0,Clear,4,21,15,14.7,5,3.6,-0.646,0.1176,1.819,39.89,72.56,1
1,3,0,Cloudy,1,12,16,19.5,11,2.2,-0.68,0.0709,1.185,43.11,51.09,0
23,6,1,Cloudy,3,28,25,27.4,13,2.2,0.865,0.1832,1.683,47.76,80.38,1
10,4,0,Clear,3,16,18,13.5,5,5.5,0.41,0.1507,1.344,42.37,56.95,0
21,1,0,Cloudy,3,31,12,19.0,11,8.8,0.216,0.1161,2.389,60.78,145.2,1
16,1,0,Cloudy,2,29,26,19.6,15,4.0,0.131,0.2526,1.548,54.02,83.62,1
18,4,0,Cloudy,2,10,11,23.9,2,12.9,-0.135,0.0847,1.448,54.26,78.57,1
18,0,0,Cloudy,1,23,17,7.4,6,5.6,2.313,0.102,1.687,45.53,76.81,1
4,1,1,Clear,4,6,10,15.1,1,8.2,-0.156,0.1463,1.478,45.06,66.6,1
8,0,0,Clear,3,15,11,20.3,3,4.4,0.587,0.1321,1.705,37.61,64.13,1
11,4,0,Rain,3,23,21,14.9,13,5.1,1.33,0.1015,1.728,53.8,92.97,1
11,3,0,Cloudy,3,29,28,13.6,13,6.0,-0.085,0.1414,1.53,55.45,84.84,1
1,0,1,Clear,3,18,25,22.6,14,1.7,-0.407,0.1485,1.401,53.07,74.35,1
13,5,0,Cloudy,4,37,20,27.3,10,5.6,-0.428,0.0656,2.005,52.59,105.44,1
3,4,0,Clear,2,20,34,21.6,15,11.2,-0.019,0.1859,1.242,70.74,87.86,0
17,5,0,Storm,3,33,19,15.9,11,4.4,-0.688,0.0528,2.034,52.31,106.4,1
16,1,0,Rain,2,8,14,19.0,2,7.6,-1.954,0.1103,1.285,45.49,58.45,0
22,6,0,Clear,1,23,18,19.8,7,2.7,-1.208,0.099,1.517,39.06,59.25,1
17,1,1,Clear,4,19,15,26.6,6,7.3,0.687,0.1756,1.84,46.84,86.19,1
8,3,0,Clear,4,9,9,16.5,2,8.4,-0.323,0.1758,1.487,44.67,66.42,1
23,3,0,Clear,4,11,14,22.8,2,8.6,1.139,0.1783,1.515,43.51,65.92,1
9,1,0,Cloudy,2,42,25,31.1,15,14.5,-0.606,0.2312,1.916,76.22,146.04,1
7,2,0,Clear,4,19,26,21.0,15,5.6,-0.485,0.1738,1.385,59.74,82.74,0
21,0,0,Rain,2,41,29,14.0,15,10.1,1.089,0.0754,1.881,72.12,135.66,1
8,3,0,Cloudy,2,27,15,23.5,7,1.5,-0.903,0.1691,1.891,39.07,73.88,1
1,4,1,Clear,2,24,26,23.3,6,9.3,1.324,0.2578,1.607,49.87,80.14,1
11,2,0,Clear,4,31,22,24.6,14,3.3,0.018,0.0845,1.796,53.24,95.62,1
19,3,0,Clear,2,17,12,20.9,3,3.2,0.365,0.0662,1.689,37.37,63.12,1
4,6,0,Cloudy,1,6,28,9.5,7,13.1,-0.892,0.0684,1.072,60.48,64.83,0
11,1,0,Cloudy,2,29,25,21.2,12,5.4,-1.355,0.179,1.566,53.94,84.47,1
3,2,0,Clear,3,6,9,29.3,2,6.8,0.398,0.1318,1.289,39.52,50.94,0
16,0,0,Clear,2,18,15,24.2,4,2.3,0.881,0.1948,1.579,35.36,55.83,1
11,3,0,Fog,4,18,15,11.2,6,10.0,1.13,0.0465,1.729,53.57,92.62,1
7,1,0,Cloudy,1,22,33,29.3,15,5.3,1.5,0.2996,1.243,56.86,70.68,0
5,5,0,Cloudy,3,11,22,11.2,15,6.0,0.086,0.0423,1.197,59.59,71.33,0
13,2,0,Clear,2,12,17,19.1,4,10.2,-0.817,0.1848,1.303,48.81,63.6,0
16,4,0,Clear,2,32,26,17.7,14,9.0,1.799,0.0971,1.693,66.6,112.75,1
22,1,0,Rain,2,23,23,11.4,10,6.2,0.224,0.0358,1.581,53.06,83.89,1
10,2,0,Rain,2,20,23,19.4,8,2.9,0.279,0.1801,1.412,41.35,58.39,1
3,1,0,Clear,4,6,12,19.2,4,6.9,-0.634,0.1137,1.199,44.38,53.21,0
19,3,0,Clear,2,23,15,21.9,5,2.4,1.666,0.21,1.787,35.69,63.78,1
15,0,0,Cloudy,4,20,20,21.4,9,8.4,0.522,0.0986,1.548,55.24,85.51,1
16,0,0,Clear,2,14,14,11.8,3,4.6,-0.203,0.0673,1.372,38.16,52.36,0
2,3,0,Fog,1,13,22,17.2,8,2.7,-0.025,0.0894,1.264,42.3,53.47,0
7,3,1,Cloudy,1,19,11,23.0,3,2.6,3.013,0.1297,2.06,36.08,74.32,1
18,2,0,Storm,2,21,7,17.1,2,4.2,2.554,0.2328,2.5,37.13,92.82,1
19,3,0,Clear,4,20,10,22.1,3,3.8,0.214,0.101,2.104,36.04,75.83,1
10,2,0,Cloudy,3,30,28,20.5,12,5.2,-1.048,0.2975,1.414,51.87,73.34,1
19,5,0,Clear,3,41,21,11.9,8,2.1,-0.342,0.1061,2.105,41.04,86.39,1
20,3,0,Fog,3,46,25,14.8,13,3.6,0.272,0.0247,2.119,50.6,107.22,1
9,5,0,Cloudy,2,22,20,22.0,11,5.8,-0.717,0.0751,1.485,53.73,79.79,1
21,1,0,Rain,3,15,13,24.2,1,2.0,-0.42,0.1076,1.641,29.98,49.2,1
6,1,0,Clear,3,5,13,9.8,5,2.7,-0.59,0.0575,1.125,38.63,43.46,0
5,2,0,Cloudy,1,25,18,18.1,6,5.3,0.487,0.1216,1.668,48.5,80.9,1
16,0,0,Cloudy,3,29,30,13.4,15,6.6,0.669,0.12,1.49,60.12,89.58,1
15,4,0,Clear,3,16,21,14.3,9,3.0,1.827,0.3569,1.41,45.63,64.34,1
3,2,0,Rain,2,12,16,17.4,8,4.5,1.014,0.1225,1.378,48.62,67.0,0
19,2,0,Cloudy,2,49,30,15.7,15,5.4,0.923,0.0739,1.852,55.81,103.36,1
4,3,0,Cloudy,4,15,20,13.0,9,5.3,-1.626,0.1396,1.388,46.43,64.44,0
19,0,0,Clear,2,36,30,29.8,12,3.0,-0.406,0.1434,1.556,46.01,71.59,1
0,2,0,Rain,2,18,22,15.3,9,8.5,-0.532,0.0385,1.468,55.34,81.24,1
19,6,0,Clear,4,30,15,20.9,7,4.5,-0.736,0.1129,2.133,47.33,100.95,1
18,4,0,Cloudy,5,24,21,18.1,12,5.9,0.736,0.101,1.602,55.87,89.5,1
18,4,0,Storm,2,15,10,25.2,6,5.6,-0.722,0.118,1.93,45.97,88.72,1
15,3,1,Clear,2,27,31,17.4,15,12.6,-0.31,0.066,1.496,75.35,112.72,1
11,3,0,Storm,1,20,9,11.7,5,6.1,-0.671,0.2875,2.304,40.26,92.76,1
16,6,0,Storm,3,34,14,22.2,13,4.1,-0.611,0.1534,2.451,52.29,128.16,1
6,6,0,Clear,2,9,16,22.2,2,2.4,-0.295,0.0733,1.285,31.36,40.3,0
18,2,0,Clear,4,17,25,26.8,8,2.7,3.128,0.0813,1.478,42.61,62.98,1
13,6,0,Rain,5,26,12,14.4,8,5.0,0.681,0.1144,2.43,48.14,116.98,1
11,0,0,Fog,1,34,25,18.3,15,4.5,0.82,0.1165,1.581,56.89,89.94,1
12,2,0,Clear,4,21,12,16.2,6,4.0,0.177,0.1708,2.018,42.78,86.33,1
13,2,0,Storm,2,31,12,13.8,7,8.0,1.836,0.1102,2.5,52.64,131.6,1
0,4,0,Clear,2,7,12,18.0,1,7.0,-0.435,0.1012,1.235,41.16,50.83,0
3,4,0,Clear,4,11,11,19.1,2,2.9,2.113,0.1221,1.517,35.68,54.13,1
5,3,0,Storm,2,15,16,10.5,9,3.4,1.695,0.0957,1.642,45.37,74.5,1
2,1,0,Clear,1,9,16,21.7,2,1.8,1.871,0.1496,1.198,33.46,40.09,0
10,3,0,Rain,1,11,8,20.2,6,3.3,0.321,0.0316,1.665,41.34,68.83,1
16,1,0,Clear,2,26,30,10.2,15,10.1,-0.181,0.0524,1.442,65.34,94.22,1
15,3,1,Clear,4,11,13,17.9,5,5.3,-1.184,0.3698,1.516,43.08,65.31,1
11,2,1,Fog,1,48,33,12.9,15,3.2,-1.759,0.1441,1.846,52.37,96.68,1
20,6,0,Clear,2,33,21,16.2,7,4.3,1.599,0.1173,1.84,44.02,81.0,1
13,5,0,Rain,5,41,20,18.2,14,8.4,0.696,0.2004,2.316,62.72,145.26,1
1,1,0,Storm,3,8,10,10.7,6,8.4,2.947,0.1861,1.721,46.68,80.34,1
18,6,0,Rain,4,36,20,19.3,12,4.9,-0.313,0.0425,2.137,51.02,109.03,1
13,4,0,Fog,2,18,15,10.2,3,3.6,-0.2,0.0653,1.6,37.33,59.73,1
15,2,0,Fog,3,14,31,12.9,11,7.4,-0.067,0.1158,1.281,54.58,69.92,0
13,3,0,Clear,5,33,14,12.7,6,8.3,-2.035,0.1975,2.318,50.62,117.34,1
13,1,1,Cloudy,5,51,17,18.1,13,3.8,-0.329,0.1623,2.5,49.92,124.8,1
2,0,0,Cloudy,2,7,21,12.2,7,1.5,-0.727,0.1424,1.04,35.73,37.16,0
13,2,0,Rain,3,39,14,19.5,7,6.5,-0.356,0.1274,2.5,48.04,120.1,1
19,5,0,Rain,3,38,14,27.6,10,8.1,0.633,0.0737,2.5,57.85,144.62,1
7,2,0,Clear,1,14,21,18.6,9,7.0,-1.322,0.1623,1.203,53.68,64.58,0
14,2,0,Rain,1,18,26,18.2,9,7.4,-0.894,0.0475,1.353,53.08,71.82,0
0,6,0,Cloudy,3,19,20,23.2,14,2.5,0.92,0.2412,1.43,50.36,72.01,1
8,6,0,Rain,1,31,27,15.5,12,5.4,-1.83,0.1833,1.566,55.52,86.94,1
10,3,0,Cloudy,5,10,7,20.4,1,4.5,1.198,0.1723,1.857,37.62,69.86,1
23,0,0,Clear,2,28,25,25.1,15,6.4,-0.457,0.0173,1.498,61.67,92.38,1
5,4,0,Rain,3,16,18,17.1,9,3.0,0.192,0.0908,1.447,42.41,61.37,1
6,5,0,Cloudy,4,9,9,14.1,2,7.5,-0.634,0.0284,1.55,45.45,70.45,1
9,6,0,Storm,3,18,12,20.6,6,4.5,-0.43,0.0608,1.95,45.02,87.79,1
23,6,0,Rain,2,11,12,13.7,1,4.5,0.127,0.1287,1.555,35.08,54.55,1
20,4,0,Storm,3,52,12,9.7,9,3.0,1.353,0.1791,2.5,43.39,108.48,1
0,0,0,Rain,2,17,18,18.8,10,3.8,-0.15,0.0563,1.406,45.64,64.17,1
5,1,0,Storm,3,21,21,22.7,15,3.1,-0.72,0.1939,1.657,56.3,93.29,1
19,5,1,Clear,5,55,18,24.8,11,2.5,0.108,0.1066,2.5,44.55,111.38,1
1,4,0,Cloudy,4,19,25,20.3,12,7.8,-0.146,0.0592,1.33,59.61,79.28,0
20,3,0,Clear,2,41,25,10.2,13,7.4,0.111,0.2573,1.869,59.52,111.24,1
6,2,0,Cloudy,5,9,19,19.6,8,7.0,0.322,0.1629,1.356,50.1,67.94,0
22,4,0,Storm,4,28,5,23.6,6,3.3,-1.455,0.0521,2.5,37.61,94.02,1
7,2,0,Rain,2,25,25,22.9,11,2.9,0.157,0.048,1.534,45.71,70.12,1
10,1,0,Cloudy,5,8,8,20.4,2,6.0,-0.505,0.0588,1.565,39.02,61.07,1
15,6,0,Rain,3,18,16,15.5,9,6.4,-1.112,0.0166,1.66,51.95,86.24,1
3,2,0,Clear,5,8,12,19.5,3,7.8,-1.677,0.0906,1.347,43.34,58.38,0
13,1,0,Fog,3,17,9,18.4,3,6.2,-1.149,0.083,2.004,42.6,85.37,1
12,0,0,Clear,1,37,36,21.7,14,9.1,0.138,0.2558,1.369,65.32,89.42,0
18,3,0,Clear,1,22,22,13.1,7,9.6,-0.845,0.0692,1.432,55.95,80.12,1
23,6,1,Clear,3,26,25,19.3,9,6.4,0.358,0.18,1.594,47.92,76.38,1
15,1,0,Fog,1,14,19,15.3,2,4.7,2.249,0.0836,1.418,40.83,57.9,1
9,1,0,Cloudy,4,22,16,24.9,5,4.9,-1.616,0.0816,1.736,41.95,72.83,1
9,1,0,Cloudy,2,10,21,26.6,7,8.1,0.054,0.2347,1.188,52.44,62.3,0
10,0,1,Clear,1,31,27,23.0,14,4.2,1.06,0.0365,1.614,54.05,87.24,1
19,4,0,Clear,3,31,15,19.4,7,3.5,1.096,0.1001,2.164,42.84,92.71,1
7,2,0,Clear,3,22,26,21.2,10,3.8,-0.189,0.0601,1.394,44.88,62.56,0
4,5,0,Clear,1,10,29,12.4,11,2.1,-0.642,0.115,1.08,44.05,47.57,0
8,2,0,Cloudy,2,14,18,18.5,3,3.8,0.556,0.3147,1.2,36.22,43.46,0
0,4,0,Clear,4,6,15,20.7,5,7.3,-0.341,0.2041,1.231,46.65,57.43,0
2,0,0,Cloudy,2,13,21,16.7,8,2.9,0.652,0.0319,1.313,41.94,55.07,0
2,2,0,Cloudy,1,8,20,18.7,6,10.3,0.222,0.118,1.158,53.42,61.86,0
18,2,0,Cloudy,5,35,16,11.6,13,6.8,0.24,0.1486,2.229,57.24,127.59,1
17,0,1,Storm,2,17,13,15.2,7,11.5,0.141,0.0042,1.877,58.72,110.22,1
16,2,0,Clear,4,22,15,22.3,7,7.1,-0.322,0.1063,1.809,49.68,89.87,1
11,3,0,Cloudy,3,10,15,24.8,3,8.7,-0.884,0.097,1.287,47.36,60.95,0
17,2,0,Clear,5,22,19,22.2,11,13.5,0.841,0.2371,1.769,67.68,119.73,1
3,3,0,Storm,3,16,15,13.0,11,2.7,-0.803,0.1415,1.654,46.87,77.52,1
21,5,0,Storm,4,34,15,18.7,7,7.8,-0.543,0.0273,2.473,52.2,129.09,1
12,5,0,Clear,5,32,12,22.2,11,6.5,-1.308,0.2742,2.442,53.17,129.84,1
22,0,0,Clear,2,29,35,23.7,15,6.9,-1.452,0.1714,1.342,61.02,81.89,0
3,4,0,Clear,1,15,24,16.7,7,8.6,0.103,0.042,1.23,51.97,63.92,0
11,6,0,Clear,3,8,9,9.5,1,17.7,1.033,0.1523,1.497,62.22,93.14,1
16,6,0,Clear,4,11,8,22.2,3,6.2,1.231,0.0754,1.686,38.74,65.32,1
11,2,0,Clear,3,31,21,14.8,10,2.8,0.33,0.1786,1.768,45.09,79.72,1
10,5,0,Clear,4,31,22,19.4,12,3.7,0.265,0.075,1.78,49.36,87.86,1
3,5,0,Clear,2,18,24,15.8,9,6.1,1.431,0.0905,1.361,49.85,67.85,0
9,2,0,Clear,1,28,23,14.2,11,4.2,1.327,0.1189,1.564,54.24,84.83,1
5,6,1,Clear,2,6,15,20.5,1,7.6,-1.017,0.032,1.313,42.28,55.51,0
7,4,0,Cloudy,2,18,27,11.0,10,1.4,-1.516,0.1656,1.28,44.98,57.57,0
16,5,0,Storm,2,28,13,27.0,10,5.8,0.503,0.2836,2.343,49.62,116.26,1
15,5,0,Clear,2,23,37,20.0,15,3.6,-0.421,0.0494,1.178,52.8,62.2,0
14,5,0,Clear,2,24,15,20.7,6,2.6,-0.91,0.1416,1.824,38.16,69.6,1
8,6,0,Storm,1,39,21,21.5,13,11.9,0.877,0.1252,2.203,68.99,151.98,1
23,6,0,Clear,3,10,17,10.2,4,4.0,0.701,0.0404,1.264,41.67,52.67,0
2,2,0,Clear,4,14,27,15.6,14,3.7,-2.119,0.1072,1.24,52.55,65.16,0
8,3,0,Cloudy,5,25,15,13.4,9,7.2,0.394,0.0332,2.012,52.53,105.69,1
2,4,0,Clear,2,19,25,13.6,12,4.9,0.712,0.1632,1.336,51.08,68.24,0
8,5,0,Cloudy,3,17,22,12.0,8,6.8,-0.443,0.2938,1.28,48.36,61.9,0
23,2,0,Rain,3,19,19,17.3,12,11.7,0.239,0.3968,1.636,67.4,110.27,1
8,2,0,Cloudy,4,29,24,15.0,13,4.2,-0.699,0.3395,1.627,51.66,84.05,1
21,5,0,Rain,3,44,24,16.2,12,3.1,-0.568,0.1117,2.067,49.73,102.79,1
11,6,0,Clear,2,45,35,15.7,15,5.7,0.349,0.1668,1.587,60.46,95.95,1
16,6,0,Clear,2,29,37,13.8,15,9.1,0.019,0.0475,1.351,65.17,88.04,0
10,1,0,Clear,3,19,26,17.2,12,5.7,-1.683,0.1017,1.331,54.65,72.74,0
6,6,0,Cloudy,4,13,15,23.5,8,2.3,-0.202,0.2074,1.453,41.97,60.98,1
18,5,0,Rain,1,20,11,11.0,2,5.9,1.445,0.0645,2.118,39.97,84.66,1
23,1,0,Rain,3,12,13,15.7,7,4.1,1.376,0.0938,1.577,45.8,72.23,1
6,0,1,Clear,2,14,25,19.7,10,5.8,-0.861,0.0693,1.346,52.46,70.61,0
18,1,0,Storm,5,38,11,16.4,15,4.6,-0.351,0.0984,2.5,57.06,142.65,1
6,6,0,Clear,5,8,9,15.6,5,8.6,1.488,0.2617,1.577,48.42,76.36,1
17,5,1,Fog,4,32,24,11.9,15,2.4,-0.461,0.0414,1.953,50.69,99.0,1
18,4,0,Clear,4,33,21,16.4,9,2.3,-0.534,0.1689,1.921,41.43,79.59,1
10,4,0,Rain,5,24,19,17.1,14,4.8,0.04,0.0914,1.774,54.19,96.13,1
17,2,0,Cloudy,2,26,20,16.7,11,3.9,-0.925,0.1453,1.542,51.15,78.87,1
6,6,0,Cloudy,3,12,17,21.8,9,15.2,-0.203,0.0352,1.374,68.91,94.68,0
1,1,0,Rain,1,15,26,13.9,13,8.8,0.703,0.0228,1.341,60.59,81.25,0
2,2,0,Cloudy,3,12,20,25.0,10,9.5,-1.621,0.362,1.262,58.32,73.6,0
10,1,0,Cloudy,1,27,42,21.0,13,5.4,-1.78,0.1028,1.194,56.66,67.65,0
21,5,0,Storm,3,42,12,18.1,7,6.8,-2.415,0.0203,2.5,50.46,126.15,1
3,3,0,Clear,1,4,10,11.8,1,6.5,-0.472,0.2593,1.113,39.61,44.09,0
10,4,0,Cloudy,4,7,12,14.4,4,5.8,-0.99,0.0321,1.305,42.64,55.65,0
16,6,0,Rain,4,18,13,24.1,8,4.5,1.553,0.1417,1.839,45.3,83.31,1
4,1,0,Clear,5,4,9,24.0,2,4.1,-2.277,0.2846,1.275,33.3,42.46,0
17,6,0,Clear,1,27,26,11.7,7,13.3,-0.813,0.1913,1.413,62.27,87.99,1
7,0,1,Clear,4,5,8,24.1,1,6.5,0.168,0.1168,1.461,38.87,56.79,1
19,5,0,Clear,2,22,24,16.3,8,2.2,-1.436,0.1987,1.337,42.5,56.82,0
13,4,0,Rain,2,15,14,22.8,4,2.2,1.365,0.0332,1.583,33.42,52.9,1
13,5,0,Cloudy,4,29,21,21.5,12,4.7,1.284,0.1663,1.759,51.0,89.71,1
4,1,0,Clear,1,17,23,12.7,9,2.5,0.055,0.1056,1.219,43.76,53.34,0
11,6,1,Cloudy,4,32,17,19.2,14,11.0,0.895,0.071,2.17,69.21,150.19,1
20,5,0,Clear,4,45,26,16.1,14,2.9,-1.215,0.2101,2.005,52.38,105.02,1
0,0,0,Fog,3,17,15,19.2,6,3.4,0.639,0.0208,1.61,42.43,68.31,1
18,3,0,Rain,3,20,11,19.0,7,5.7,0.249,0.1729,2.056,46.75,96.12,1
11,5,0,Clear,4,23,17,14.0,8,10.5,0.86,0.1568,1.734,57.45,99.62,1
17,3,0,Clear,4,24,12,19.8,10,5.2,0.758,0.0199,2.174,51.93,112.9,1
15,2,0,Storm,1,16,21,19.0,10,5.6,-0.237,0.0892,1.414,53.41,75.52,1
10,1,0,Cloudy,3,19,23,21.2,7,4.0,0.485,0.2068,1.454,44.29,64.4,1
7,3,0,Clear,3,18,14,9.7,8,7.7,0.342,0.1652,1.669,52.95,88.37,1
15,6,1,Cloudy,4,14,9,18.8,1,1.1,-0.532,0.1774,1.985,28.26,56.1,1
3,4,0,Clear,4,4,7,20.9,2,8.8,-1.249,0.1552,1.348,44.48,59.96,0
14,5,0,Storm,3,9,14,19.7,7,6.0,-2.163,0.1786,1.427,47.29,67.48,1
2,5,0,Storm,1,25,26,15.9,15,4.1,0.367,0.2107,1.505,51.4,77.36,1
15,5,0,Clear,3,22,15,18.3,6,4.7,0.933,0.1018,1.733,40.15,69.58,1
15,2,0,Rain,3,24,26,14.5,15,3.3,-0.145,0.1205,1.484,55.91,82.97,1
2,5,0,Rain,3,9,14,28.7,5,5.0,-0.03,0.164,1.39,42.79,59.48,0
18,2,0,Clear,5,16,7,16.4,1,4.8,-0.758,0.1361,2.348,35.87,84.22,1
9,4,1,Storm,5,26,6,28.7,5,6.2,-0.193,0.0153,2.5,47.55,118.88,1
18,2,0,Cloudy,3,23,19,18.5,6,3.6,-0.472,0.1371,1.638,42.01,68.81,1
0,6,1,Clear,5,3,7,24.7,3,4.5,-0.45,0.0694,1.357,37.49,50.87,0
4,5,1,Fog,2,11,20,19.7,6,6.3,0.378,0.1435,1.395,45.83,63.93,0
11,4,0,Rain,2,24,14,17.1,9,1.6,2.524,0.2367,2.02,41.02,82.86,1
4,3,1,Clear,3,6,13,17.6,3,6.9,-0.196,0.1758,1.415,42.1,59.57,1
7,3,0,Cloudy,3,22,25,9.8,13,1.6,1.253,0.2136,1.401,48.61,68.1,1
15,5,0,Cloudy,4,11,14,22.6,3,2.5,-0.37,0.0511,1.327,34.64,45.97,0
3,1,0,Rain,1,23,24,14.0,13,8.2,2.81,0.1241,1.582,60.13,95.13,1
16,5,0,Clear,3,12,12,17.2,2,4.6,-0.6,0.2774,1.485,35.52,52.75,1
2,1,0,Cloudy,3,13,17,28.3,5,7.0,0.37,0.2174,1.364,49.3,67.25,0
4,0,0,Rain,3,7,17,24.1,6,5.0,-0.755,0.2073,1.375,40.93,56.28,0
14,5,0,Rain,2,30,19,23.6,5,7.9,1.371,0.0576,2.031,46.5,94.44,1
19,4,0,Clear,3,33,21,15.5,10,9.9,-0.992,0.1308,1.846,59.07,109.04,1
4,2,0,Fog,3,12,18,17.3,5,4.2,0.246,0.1643,1.4,39.53,55.34,1
7,4,0,Clear,3,13,15,21.9,2,1.0,-0.891,0.3646,1.365,27.41,37.41,0
22,5,1,Rain,3,18,10,14.7,3,6.7,1.504,0.2042,2.245,42.8,96.09,1
23,5,0,Clear,3,21,28,15.4,14,3.0,-0.743,0.0915,1.264,52.78,66.71,0
13,6,0,Fog,2,31,18,10.1,10,7.3,-2.333,0.1576,1.9,54.26,103.09,1
10,5,1,Storm,1,20,18,28.6,15,4.7,0.144,0.0943,1.75,57.02,99.79,1
8,3,0,Storm,1,10,13,12.9,3,7.5,0.818,0.0905,1.499,46.41,69.57,1
14,1,0,Clear,3,32,22,29.4,11,3.5,-1.032,0.0876,1.669,48.49,80.93,1
14,0,0,Rain,4,18,12,11.0,6,14.6,1.532,0.2439,2.088,60.45,126.22,1
7,4,1,Clear,4,17,27,22.5,14,1.9,0.357,0.1525,1.367,51.4,70.26,0
0,4,0,Cloudy,3,19,17,13.5,9,4.9,0.43,0.1058,1.587,49.4,78.4,1
3,4,0,Storm,3,10,6,27.0,3,8.9,-1.48,0.1454,2.084,43.09,89.8,1
23,0,0,Rain,5,16,12,5.0,11,7.9,-0.068,0.1066,1.865,57.6,107.42,1
10,4,0,Cloudy,5,30,14,18.7,9,4.1,-0.072,0.1662,2.184,47.98,104.79,1
11,5,0,Clear,5,32,20,18.7,15,2.9,0.382,0.201,1.89,53.56,101.23,1
